英文（English）	wordcn
Protocol	协议
Provision, Provisioning	预配
Proxy (or Proxy server)	代理服务器
Pseudo code	伪代码
Pull-down list	下拉列表
Quality	质量
Queue	队列
Quit unexpectedly	意外退出
Radian	弧度
Radio button	单选按钮
	
RAM (Random Access Memory)	随机存取存储器
Read	读
Read-only	只读
Recovery	还原
Recursion	递归
Redirect, Redirection	重定向
Reference	参考
Register	寄存器 
Release	发行 
Remote	远程
Render	渲染
Resolution	分辨率
Response	响应
Response body	响应正文
Response header	响应头
Restore	还原 
Return	返回 
Revoke, Revocation	撤销
Rollback	回滚 
Routine	程序
Run	运行
Runtime  	运行时环境
Runtime environment (RTE), Runtime system	运行环境；运行系统
Save	保存
Sampling	取样
Scalar	标量
Schedule	调度
Scheduler	调度器
Scope	作用域
Scroll bar	滚动条
Script	脚本
	
SDK (Software Development Kit)	软件开发工具包 (win)
	软件开发套件 (mac)
Search engine	搜索引擎
Security	安全性
Segment	段
Server	服务器
Server-side	服务器端
Session	会话
Session	会话
Session layer	会话层
Set up	设置
Settings	设置
Shortcut	快捷
Shortcut key	快捷键
Sign in, sign-in	登录
Sign out, sign-out	退出，注销
Silicon	硅
Simulation	模拟
Signature	签名
Slider	滑块
Smart	智能
Smartphone	智能手机
SMS (Short Message Service)	短信
Snip	截图
Source code	源代码，源码
Stack	栈
Star rating	星级评分
	
Statement	语句
Status bar	状态栏
Stepper	步进器
Stream	（数据）流
String	字符串
String interpolation	字符串插值
Stuttering	-
Subclass	子类
Subroutine	子例程
Superclass	超类
Support	支持
Suspend	暂停
Synchronize	同步
Synchronous	同步的
Tab	标签（页）
Tag	标签
Task	任务
Template	模板
Text	文本
Text box	文本框
Thread	线程
Top-up	充值
Token	标记 (win)
	令牌 (mac)
	权杖；代币
Traverse	遍历
Tray (or System tray)	系统托盘
Tree	树
Tuple	元组
Tutorial	教程
Type	类型
Universal	通用的
Variable	变量
Video	视频
View	视图
Voice	语音
Volume	卷
Window	窗口
Widget	窗口部件
Wildcard	通配符
Workspaces	工作区
Write	写
